单间 | 长租更优惠！积玉桥融侨华府（近万达公馆楚河汉街洪山广,湖北省武汉市武昌积玉桥和平大道融侨华府,114.316862,30.569721,1010,https://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTENA9ln2GBSIlEf2dgEIicZ3Zpk1zEffDjvZrKof8T9H1Etf3gzeNV-jmwCQ8swAeN12dcf1Sm56cx_7k2_EqtKom-fF6853eG7ioin0Fxt89oQIXenspoCcuag6VfUrFDovkSBk_8HbPZtAUEnEhkw4SI7uq1-dOrXdFoqNyNhGQd9RX5XAsPrQrUyujUgyBMqApDR5hWRpH8YZE29olTwTzDKQ2baw9Ug&local=158&pubid=46324242&apptype=0&psid=161931000201868563937241280&entinfo=35832648517301_0&cookie=|||&fzbref=0&key=&params=rankbusitime0099
单间 | 包宽带保洁  随时看房 街道口洪山中学教师员工宿舍,湖北省武汉市洪山街道口珞珈山路13号洪山中学教师员工宿舍,114.354251,30.530809,990,https://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTENA9ln2GBSIlEf2dgEIicZ3Zpk1zEffDjvZrKof8T9H1Etf3gzeNV-i8lFiG_YX4led0Q6fdKh4Mx_7k2_EqtKpJLGetIZzhX_vY3yazTYEl7bPyKFQTpiEoCVnhXRlvmh9vBuo8nw5WZtAUEnEhkw4SI7uq1-dOrXdFoqNyNhGQPGp8wlUruyEDbJhQzu2U2qApDR5hWRpH8YZE29olTwRVECTO_xhJgw&local=158&pubid=46473694&apptype=0&psid=161931000201868563937241280&entinfo=35843506081322_0&cookie=|||&fzbref=0&key=&params=rankbusitime0099
单间 | 沙湖港湾 走心租房 房子是租来的 但生活不是,湖北省武汉市青山友谊大道仁和路沙湖港湾,114.387431,30.597239,700,https://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTENA9ln2GBSIlEf2dgEIicZ3Zpk1zEffDjvZrKof8T9H1Etf3gzeNV-gdvwHf54fYlXWEKTBFCv3ox_7k2_EqtKqjYPafcyojuW2qwHS3arqS76gIcbHwYe31DzCyVLLgQx9vBuo8nw5WZtAUEnEhkw4SI7uq1-dOrXdFoqNyNhGQXb_zfihqB6_DgV-OD-RiI6ApDR5hWRpH8YZE29olTwRPOc2sXsbTWw&local=158&pubid=43771889&apptype=0&psid=161931000201868563937241280&entinfo=35386879330877_0&cookie=|||&fzbref=0&key=&params=rankbusitime0099
单间 | 陶家岭大次卧 精装修 青客给你一个温馨的家 随时看房,湖北省武汉市汉阳王家湾康达街7号附135号陶馨园,114.193266,30.542562,690,https://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTENA9ln2GBSIlEf2dgEIicZ3Zpk1zEffDjvZrKof8T9H1Etf3gzeNV-hDLz4Bn0O1ZnycAmPtAbXXx_7k2_EqtKpb94X4e8tWPNHb6-FiJClhhBDtZ1AFs6vLv0fTYsKmx5zOMkNr3kS6ZtAUEnEhkw4SI7uq1-dOrXdFoqNyNhGQD3kiAZPdKVbr6zkGF76mn6ApDR5hWRpH8YZE29olTwTcnQpZoucALA&local=158&pubid=45766576&apptype=0&psid=161931000201868563937241280&entinfo=35777944180543_0&cookie=|||&fzbref=0&key=&params=rankbusitime0099
单间 | 东风大道龙源映象 直达郭徐岭广场 青客白领公寓直租,湖北省武汉市蔡甸蔡甸周边东风大道龙源映象,114.126308,30.468878,600,https://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTENA9ln2GBSIlEf2dgEIicZ3Zpk1zEffDjvZrKof8T9H1Etf3gzeNV-hpi0ZQUj0jEIrQPFA_qpF5x_7k2_EqtKqBxTz9ieWXvy0dHkbNqGpcGUUBZL3i6bJNqSEIdIjBGjdXxJadH7gxr-QuiAazy30FNCSqygBCivK4Hv_B4rVWjf75O65MLrMVbNnuSbTgG0gnTnuV4ut2oMzJts5psgUKMV5bmm8N-FouVjHO1K_2&local=158&pubid=45765334&apptype=0&psid=161931000201868563937241280&entinfo=35777712223824_0&cookie=|||&fzbref=0&key=
单间 | 首义路华天明珠紫阳府公共区域超大 和朋友一起开PAR,湖北省武汉市武昌紫阳路保安街1号华天明珠花园张公苑,114.298274,30.529214,850,https://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTENA9ln2GBSIlEf2dgEIicZ3Zpk1zEffDjvZrKof8T9H1Etf3gzeNV-jm7ZZPd7xuL8NzUmA78MAJx_7k2_EqtKovweePSp3te0nBJOYbRz5uGUUBZL3i6bIuag6VfUrFDpzOMkNr3kS6ZtAUEnEhkw4SI7uq1-dOrXdFoqNyNhGQG6tq5rhevUUpc_Rrsfdm3aApDR5hWRpH8YZE29olTwR6FkgvX8qn3g&local=158&pubid=44074204&apptype=0&psid=161931000201868563937241280&entinfo=35586107805117_0&cookie=|||&fzbref=0&key=&params=rankbusitime0099
单间 | 徐东杨园村 你选我租只租好房精致温馨装修可以做饭,湖北省武汉市武昌徐东和平大道杨园村小区,114.341373,30.599318,940,https://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTENA9ln2GBSIlEf2dgEIicZ3Zpk1zEffDjvZrKof8T9H1Etf3gzeNV-igFdeJXDFQ8UU7QVrUM9zMx_7k2_EqtKrHixLmb5E5VoEWJZixI3NcrE2gJv3TDO4oCVnhXRlvmm4ugUfNwQOAZtAUEnEhkw4SI7uq1-dOrXdFoqNyNhGQMGmUmQBUtCaGRYy_GPEFpKApDR5hWRpH8YZE29olTwRxwbfeF0TzjQ&local=158&pubid=43266702&apptype=0&psid=161931000201868563937241280&entinfo=35488573629630_0&cookie=|||&fzbref=0&key=&params=rankbusitime0099
单间 | 藏龙岛 万科魅力之城 有轨电车 高档小区 交通方便,湖北省武汉市江夏东湖高新民族大道338号光谷麦郡,114.381361,30.437316,810,https://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTENA9ln2GBSIlEf2dgEIicZ3Zpk1zEffDjvZrKof8T9H1Etf3gzeNV-jC1NDuXv9j9S5qmF0zsIu2x_7k2_EqtKp363n_S4frlGLI4REWsB7376gIcbHwYe03JS0R2J8QkTSLjGbCWxXOr-QuiAazy30FNCSqygBCivK4Hv_B4rVWy_zjaKCNZoPdW-HP7hpc7UgnTnuV4ut2oMzJts5psgWNKP9DhspwGFouVjHO1K_2&local=158&pubid=42433126&apptype=0&psid=161931000201868563937241280&entinfo=35400334746046_0&cookie=|||&fzbref=0&key=&params=rankbusitime0099
单间 | 珞狮南路恺得南湖国际维修服务 双周保洁 费 妈妈不担,湖北省武汉市洪山珞狮南路文治街516号恺得南湖国际,114.343328,30.498969,860,https://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTENA9ln2GBSIlEf2dgEIicZ3Zpk1zEffDjvZrKof8T9H1Etf3gzeNV-hyIM56wKrEl5QFH8xail16x_7k2_EqtKoX3PTsW2TyQpybeAtILfX7ZexEDM3yPWL3RcinNqFhwHayiPyJ8f3mZtAUEnEhkw4SI7uq1-dOrXdFoqNyNhGQzEuuXlcU9DxNhj7jF4r5h6ApDR5hWRpH8YZE29olTwRpTE4Tz8En5w&local=158&pubid=42125069&apptype=0&psid=161931000201868563937241280&entinfo=35366855385406_0&cookie=|||&fzbref=0&key=&params=rankbusitime0099
单间 | 转租 王家湾怡然熙苑精装修 卧室带阳台 家电齐全 可,湖北省武汉市汉阳王家湾蟠龙路怡然熙苑,114.204861,30.553791,1060,https://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTENA9ln2GBSIlEf2dgEIicZ3Zpk1zEffDjvZrKof8T9H1Etf3gzeNV-h2gl7nD9vgj-DFedvl6PInx_7k2_EqtKrKCmqNsX97_otD6oJajlrQ_iA8VADJkM_Lv0fTYsKmx5zOMkNr3kS6ZtAUEnEhkw4SI7uq1-dOrXdFoqNyNhGQ52nJJIjji1NN7XibBFP2eqApDR5hWRpH8YZE29olTwTcnQpZoucALA&local=158&pubid=41928256&apptype=0&psid=161931000201868563937241280&entinfo=35344533512243_0&cookie=|||&fzbref=0&key=&params=rankbusitime0099
